index,visit_date,visit_date_num,visitor_local,local_corona,gender_label,category_label
0,202301,202301_1,909799,0.0,0,0
1,202301,202301_2,909799,0.0,1,0
2,202301,202301_3,909799,0.0,0,1
3,202301,202301_4,909799,0.0,1,1
4,202301,202301_5,909799,0.0,0,2
5,202301,202301_6,909799,0.0,1,2
6,202301,202301_7,909799,0.0,0,3
7,202301,202301_8,909799,0.0,1,3
8,202301,202301_9,909799,0.0,0,4
9,202301,202301_10,909799,0.0,1,4
10,202301,202301_11,909799,0.0,0,5
11,202301,202301_12,909799,0.0,1,5
12,202301,202301_13,909799,0.0,0,6
13,202301,202301_14,909799,0.0,1,6
14,202301,202301_15,909799,0.0,0,7
15,202301,202301_16,909799,0.0,1,7
16,202301,202301_17,909799,0.0,0,8
17,202301,202301_18,909799,0.0,1,8
18,202301,202301_19,909799,0.0,0,9
19,202301,202301_20,909799,0.0,1,9
20,202301,202301_21,909799,0.0,0,10
21,202301,202301_22,909799,0.0,1,10
22,202301,202301_23,909799,0.0,0,11
23,202301,202301_24,909799,0.0,1,11
24,202301,202301_25,909799,0.0,0,12
25,202301,202301_26,909799,0.0,1,12
26,202301,202301_27,909799,0.0,0,13
27,202301,202301_28,909799,0.0,1,13
28,202302,202302_1,820510,0.0,0,0
29,202302,202302_2,820510,0.0,1,0
30,202302,202302_3,820510,0.0,0,1
31,202302,202302_4,820510,0.0,1,1
32,202302,202302_5,820510,0.0,0,2
33,202302,202302_6,820510,0.0,1,2
34,202302,202302_7,820510,0.0,0,3
35,202302,202302_8,820510,0.0,1,3
36,202302,202302_9,820510,0.0,0,4
37,202302,202302_10,820510,0.0,1,4
38,202302,202302_11,820510,0.0,0,5
39,202302,202302_12,820510,0.0,1,5
40,202302,202302_13,820510,0.0,0,6
41,202302,202302_14,820510,0.0,1,6
42,202302,202302_15,820510,0.0,0,7
43,202302,202302_16,820510,0.0,1,7
44,202302,202302_17,820510,0.0,0,8
45,202302,202302_18,820510,0.0,1,8
46,202302,202302_19,820510,0.0,0,9
47,202302,202302_20,820510,0.0,1,9
48,202302,202302_21,820510,0.0,0,10
49,202302,202302_22,820510,0.0,1,10
50,202302,202302_23,820510,0.0,0,11
51,202302,202302_24,820510,0.0,1,11
52,202302,202302_25,820510,0.0,0,12
53,202302,202302_26,820510,0.0,1,12
54,202302,202302_27,820510,0.0,0,13
55,202302,202302_28,820510,0.0,1,13
56,202303,202303_1,859598,0.0,0,0
57,202303,202303_2,859598,0.0,1,0
58,202303,202303_3,859598,0.0,0,1
59,202303,202303_4,859598,0.0,1,1
60,202303,202303_5,859598,0.0,0,2
61,202303,202303_6,859598,0.0,1,2
62,202303,202303_7,859598,0.0,0,3
63,202303,202303_8,859598,0.0,1,3
64,202303,202303_9,859598,0.0,0,4
65,202303,202303_10,859598,0.0,1,4
66,202303,202303_11,859598,0.0,0,5
67,202303,202303_12,859598,0.0,1,5
68,202303,202303_13,859598,0.0,0,6
69,202303,202303_14,859598,0.0,1,6
70,202303,202303_15,859598,0.0,0,7
71,202303,202303_16,859598,0.0,1,7
72,202303,202303_17,859598,0.0,0,8
73,202303,202303_18,859598,0.0,1,8
74,202303,202303_19,859598,0.0,0,9
75,202303,202303_20,859598,0.0,1,9
76,202303,202303_21,859598,0.0,0,10
77,202303,202303_22,859598,0.0,1,10
78,202303,202303_23,859598,0.0,0,11
79,202303,202303_24,859598,0.0,1,11
80,202303,202303_25,859598,0.0,0,12
81,202303,202303_26,859598,0.0,1,12
82,202303,202303_27,859598,0.0,0,13
83,202303,202303_28,859598,0.0,1,13
84,202304,202304_1,1000761,0.0,0,0
85,202304,202304_2,1000761,0.0,1,0
86,202304,202304_3,1000761,0.0,0,1
87,202304,202304_4,1000761,0.0,1,1
88,202304,202304_5,1000761,0.0,0,2
89,202304,202304_6,1000761,0.0,1,2
90,202304,202304_7,1000761,0.0,0,3
91,202304,202304_8,1000761,0.0,1,3
92,202304,202304_9,1000761,0.0,0,4
93,202304,202304_10,1000761,0.0,1,4
94,202304,202304_11,1000761,0.0,0,5
95,202304,202304_12,1000761,0.0,1,5
96,202304,202304_13,1000761,0.0,0,6
97,202304,202304_14,1000761,0.0,1,6
98,202304,202304_15,1000761,0.0,0,7
99,202304,202304_16,1000761,0.0,1,7
100,202304,202304_17,1000761,0.0,0,8
101,202304,202304_18,1000761,0.0,1,8
102,202304,202304_19,1000761,0.0,0,9
103,202304,202304_20,1000761,0.0,1,9
104,202304,202304_21,1000761,0.0,0,10
105,202304,202304_22,1000761,0.0,1,10
106,202304,202304_23,1000761,0.0,0,11
107,202304,202304_24,1000761,0.0,1,11
108,202304,202304_25,1000761,0.0,0,12
109,202304,202304_26,1000761,0.0,1,12
110,202304,202304_27,1000761,0.0,0,13
111,202304,202304_28,1000761,0.0,1,13
112,202305,202305_1,1069987,0.0,0,0
113,202305,202305_2,1069987,0.0,1,0
114,202305,202305_3,1069987,0.0,0,1
115,202305,202305_4,1069987,0.0,1,1
116,202305,202305_5,1069987,0.0,0,2
117,202305,202305_6,1069987,0.0,1,2
118,202305,202305_7,1069987,0.0,0,3
119,202305,202305_8,1069987,0.0,1,3
120,202305,202305_9,1069987,0.0,0,4
121,202305,202305_10,1069987,0.0,1,4
122,202305,202305_11,1069987,0.0,0,5
123,202305,202305_12,1069987,0.0,1,5
124,202305,202305_13,1069987,0.0,0,6
125,202305,202305_14,1069987,0.0,1,6
126,202305,202305_15,1069987,0.0,0,7
127,202305,202305_16,1069987,0.0,1,7
128,202305,202305_17,1069987,0.0,0,8
129,202305,202305_18,1069987,0.0,1,8
130,202305,202305_19,1069987,0.0,0,9
131,202305,202305_20,1069987,0.0,1,9
132,202305,202305_21,1069987,0.0,0,10
133,202305,202305_22,1069987,0.0,1,10
134,202305,202305_23,1069987,0.0,0,11
135,202305,202305_24,1069987,0.0,1,11
136,202305,202305_25,1069987,0.0,0,12
137,202305,202305_26,1069987,0.0,1,12
138,202305,202305_27,1069987,0.0,0,13
139,202305,202305_28,1069987,0.0,1,13
140,202306,202306_1,1081954,0.0,0,0
141,202306,202306_2,1081954,0.0,1,0
142,202306,202306_3,1081954,0.0,0,1
143,202306,202306_4,1081954,0.0,1,1
144,202306,202306_5,1081954,0.0,0,2
145,202306,202306_6,1081954,0.0,1,2
146,202306,202306_7,1081954,0.0,0,3
147,202306,202306_8,1081954,0.0,1,3
148,202306,202306_9,1081954,0.0,0,4
149,202306,202306_10,1081954,0.0,1,4
150,202306,202306_11,1081954,0.0,0,5
151,202306,202306_12,1081954,0.0,1,5
152,202306,202306_13,1081954,0.0,0,6
153,202306,202306_14,1081954,0.0,1,6
154,202306,202306_15,1081954,0.0,0,7
155,202306,202306_16,1081954,0.0,1,7
156,202306,202306_17,1081954,0.0,0,8
157,202306,202306_18,1081954,0.0,1,8
158,202306,202306_19,1081954,0.0,0,9
159,202306,202306_20,1081954,0.0,1,9
160,202306,202306_21,1081954,0.0,0,10
161,202306,202306_22,1081954,0.0,1,10
162,202306,202306_23,1081954,0.0,0,11
163,202306,202306_24,1081954,0.0,1,11
164,202306,202306_25,1081954,0.0,0,12
165,202306,202306_26,1081954,0.0,1,12
166,202306,202306_27,1081954,0.0,0,13
167,202306,202306_28,1081954,0.0,1,13
168,202307,202307_1,1098829,0.0,0,0
169,202307,202307_2,1098829,0.0,1,0
170,202307,202307_3,1098829,0.0,0,1
171,202307,202307_4,1098829,0.0,1,1
172,202307,202307_5,1098829,0.0,0,2
173,202307,202307_6,1098829,0.0,1,2
174,202307,202307_7,1098829,0.0,0,3
175,202307,202307_8,1098829,0.0,1,3
176,202307,202307_9,1098829,0.0,0,4
177,202307,202307_10,1098829,0.0,1,4
178,202307,202307_11,1098829,0.0,0,5
179,202307,202307_12,1098829,0.0,1,5
180,202307,202307_13,1098829,0.0,0,6
181,202307,202307_14,1098829,0.0,1,6
182,202307,202307_15,1098829,0.0,0,7
183,202307,202307_16,1098829,0.0,1,7
184,202307,202307_17,1098829,0.0,0,8
185,202307,202307_18,1098829,0.0,1,8
186,202307,202307_19,1098829,0.0,0,9
187,202307,202307_20,1098829,0.0,1,9
188,202307,202307_21,1098829,0.0,0,10
189,202307,202307_22,1098829,0.0,1,10
190,202307,202307_23,1098829,0.0,0,11
191,202307,202307_24,1098829,0.0,1,11
192,202307,202307_25,1098829,0.0,0,12
193,202307,202307_26,1098829,0.0,1,12
194,202307,202307_27,1098829,0.0,0,13
195,202307,202307_28,1098829,0.0,1,13
196,202308,202308_1,1121701,0.0,0,0
197,202308,202308_2,1121701,0.0,1,0
198,202308,202308_3,1121701,0.0,0,1
199,202308,202308_4,1121701,0.0,1,1
200,202308,202308_5,1121701,0.0,0,2
201,202308,202308_6,1121701,0.0,1,2
202,202308,202308_7,1121701,0.0,0,3
203,202308,202308_8,1121701,0.0,1,3
204,202308,202308_9,1121701,0.0,0,4
205,202308,202308_10,1121701,0.0,1,4
206,202308,202308_11,1121701,0.0,0,5
207,202308,202308_12,1121701,0.0,1,5
208,202308,202308_13,1121701,0.0,0,6
209,202308,202308_14,1121701,0.0,1,6
210,202308,202308_15,1121701,0.0,0,7
211,202308,202308_16,1121701,0.0,1,7
212,202308,202308_17,1121701,0.0,0,8
213,202308,202308_18,1121701,0.0,1,8
214,202308,202308_19,1121701,0.0,0,9
215,202308,202308_20,1121701,0.0,1,9
216,202308,202308_21,1121701,0.0,0,10
217,202308,202308_22,1121701,0.0,1,10
218,202308,202308_23,1121701,0.0,0,11
219,202308,202308_24,1121701,0.0,1,11
220,202308,202308_25,1121701,0.0,0,12
221,202308,202308_26,1121701,0.0,1,12
222,202308,202308_27,1121701,0.0,0,13
223,202308,202308_28,1121701,0.0,1,13
224,202309,202309_1,931152,0.0,0,0
225,202309,202309_2,931152,0.0,1,0
226,202309,202309_3,931152,0.0,0,1
227,202309,202309_4,931152,0.0,1,1
228,202309,202309_5,931152,0.0,0,2
229,202309,202309_6,931152,0.0,1,2
230,202309,202309_7,931152,0.0,0,3
231,202309,202309_8,931152,0.0,1,3
232,202309,202309_9,931152,0.0,0,4
233,202309,202309_10,931152,0.0,1,4
234,202309,202309_11,931152,0.0,0,5
235,202309,202309_12,931152,0.0,1,5
236,202309,202309_13,931152,0.0,0,6
237,202309,202309_14,931152,0.0,1,6
238,202309,202309_15,931152,0.0,0,7
239,202309,202309_16,931152,0.0,1,7
240,202309,202309_17,931152,0.0,0,8
241,202309,202309_18,931152,0.0,1,8
242,202309,202309_19,931152,0.0,0,9
243,202309,202309_20,931152,0.0,1,9
244,202309,202309_21,931152,0.0,0,10
245,202309,202309_22,931152,0.0,1,10
246,202309,202309_23,931152,0.0,0,11
247,202309,202309_24,931152,0.0,1,11
248,202309,202309_25,931152,0.0,0,12
249,202309,202309_26,931152,0.0,1,12
250,202309,202309_27,931152,0.0,0,13
251,202309,202309_28,931152,0.0,1,13
252,202310,202310_1,1168319,0.0,0,0
253,202310,202310_2,1168319,0.0,1,0
254,202310,202310_3,1168319,0.0,0,1
255,202310,202310_4,1168319,0.0,1,1
256,202310,202310_5,1168319,0.0,0,2
257,202310,202310_6,1168319,0.0,1,2
258,202310,202310_7,1168319,0.0,0,3
259,202310,202310_8,1168319,0.0,1,3
260,202310,202310_9,1168319,0.0,0,4
261,202310,202310_10,1168319,0.0,1,4
262,202310,202310_11,1168319,0.0,0,5
263,202310,202310_12,1168319,0.0,1,5
264,202310,202310_13,1168319,0.0,0,6
265,202310,202310_14,1168319,0.0,1,6
266,202310,202310_15,1168319,0.0,0,7
267,202310,202310_16,1168319,0.0,1,7
268,202310,202310_17,1168319,0.0,0,8
269,202310,202310_18,1168319,0.0,1,8
270,202310,202310_19,1168319,0.0,0,9
271,202310,202310_20,1168319,0.0,1,9
272,202310,202310_21,1168319,0.0,0,10
273,202310,202310_22,1168319,0.0,1,10
274,202310,202310_23,1168319,0.0,0,11
275,202310,202310_24,1168319,0.0,1,11
276,202310,202310_25,1168319,0.0,0,12
277,202310,202310_26,1168319,0.0,1,12
278,202310,202310_27,1168319,0.0,0,13
279,202310,202310_28,1168319,0.0,1,13
280,202311,202311_1,1138054,0.0,0,0
281,202311,202311_2,1138054,0.0,1,0
282,202311,202311_3,1138054,0.0,0,1
283,202311,202311_4,1138054,0.0,1,1
284,202311,202311_5,1138054,0.0,0,2
285,202311,202311_6,1138054,0.0,1,2
286,202311,202311_7,1138054,0.0,0,3
287,202311,202311_8,1138054,0.0,1,3
288,202311,202311_9,1138054,0.0,0,4
289,202311,202311_10,1138054,0.0,1,4
290,202311,202311_11,1138054,0.0,0,5
291,202311,202311_12,1138054,0.0,1,5
292,202311,202311_13,1138054,0.0,0,6
293,202311,202311_14,1138054,0.0,1,6
294,202311,202311_15,1138054,0.0,0,7
295,202311,202311_16,1138054,0.0,1,7
296,202311,202311_17,1138054,0.0,0,8
297,202311,202311_18,1138054,0.0,1,8
298,202311,202311_19,1138054,0.0,0,9
299,202311,202311_20,1138054,0.0,1,9
300,202311,202311_21,1138054,0.0,0,10
301,202311,202311_22,1138054,0.0,1,10
302,202311,202311_23,1138054,0.0,0,11
303,202311,202311_24,1138054,0.0,1,11
304,202311,202311_25,1138054,0.0,0,12
305,202311,202311_26,1138054,0.0,1,12
306,202311,202311_27,1138054,0.0,0,13
307,202311,202311_28,1138054,0.0,1,13
308,202312,202312_1,957579,0.0,0,0
309,202312,202312_2,957579,0.0,1,0
310,202312,202312_3,957579,0.0,0,1
311,202312,202312_4,957579,0.0,1,1
312,202312,202312_5,957579,0.0,0,2
313,202312,202312_6,957579,0.0,1,2
314,202312,202312_7,957579,0.0,0,3
315,202312,202312_8,957579,0.0,1,3
316,202312,202312_9,957579,0.0,0,4
317,202312,202312_10,957579,0.0,1,4
318,202312,202312_11,957579,0.0,0,5
319,202312,202312_12,957579,0.0,1,5
320,202312,202312_13,957579,0.0,0,6
321,202312,202312_14,957579,0.0,1,6
322,202312,202312_15,957579,0.0,0,7
323,202312,202312_16,957579,0.0,1,7
324,202312,202312_17,957579,0.0,0,8
325,202312,202312_18,957579,0.0,1,8
326,202312,202312_19,957579,0.0,0,9
327,202312,202312_20,957579,0.0,1,9
328,202312,202312_21,957579,0.0,0,10
329,202312,202312_22,957579,0.0,1,10
330,202312,202312_23,957579,0.0,0,11
331,202312,202312_24,957579,0.0,1,11
332,202312,202312_25,957579,0.0,0,12
333,202312,202312_26,957579,0.0,1,12
334,202312,202312_27,957579,0.0,0,13
335,202312,202312_28,957579,0.0,1,13
