"visit_date","mon_max"
202001,0
202002,3150.0
202003,9786.0
202004,10765.0
202005,11468.0
202006,12800.0
202007,14305.0
202008,19947.0
202009,23812.0
202010,26511.0
202011,34201.0
202012,60740.0
202101,77395.0
202102,89676.0
202103,103088.0
202104,122007.0
202105,140340.0
202106,156961.0
202107,198345.0
202108,251421.0
202109,311289.0
202110,364700.0
202111,447230.0
202112,630838.0
202201,845709.0
202202,3134456.0
202203,13095631.0
202204,17237878.0
202205,18103638.0
202206,18359341.0
202207,19776050.0
202208,23246398.0
202209,24769101.0
202210,25557309.0
202211,27098734.0
202212,28684600.0