"visit_date","category","gender","counts","sales"
201901,간이주점,남성,164960,8639897141
201901,간이주점,여성,95318,3796381243
201901,고기요리,남성,278892,18752384343
201901,고기요리,여성,184452,11452862145
201901,닭/오리요리,남성,280099,7725315796
201901,닭/오리요리,여성,226661,5923213256
201901,별식/퓨전요리,남성,70056,1911606165
201901,별식/퓨전요리,여성,55110,1593174389
201901,부페,남성,16289,761079960
201901,부페,여성,10656,669647172
201901,분식,남성,377590,7581858851
201901,분식,여성,377609,7049165206
201901,양식,남성,131181,5184065080
201901,양식,여성,146329,5160893848
201901,유흥주점,남성,106887,21480318650
201901,유흥주점,여성,41901,4321598032
201901,일식/수산물,남성,317924,22185918454
201901,일식/수산물,여성,256830,16595668337
201901,제과/제빵/떡/케익,남성,301569,4586163702
201901,제과/제빵/떡/케익,여성,435597,6362328878
201901,중식,남성,185310,5210577237
201901,중식,여성,115692,3455772541
201901,커피/음료,남성,580084,7886700466
201901,커피/음료,여성,764270,10449905373
201901,패스트푸드,남성,331173,4346954534
201901,패스트푸드,여성,337664,4344870629
201901,한식,남성,1389967,58162673742
201901,한식,여성,996802,38354034233
201902,간이주점,남성,155012,8206353989
201902,간이주점,여성,87171,3437692290
201902,고기요리,남성,248620,17053955641
201902,고기요리,여성,160997,10498642911
201902,닭/오리요리,남성,238621,6759813720
201902,닭/오리요리,여성,187086,4960407903
201902,별식/퓨전요리,남성,53934,1554054431
201902,별식/퓨전요리,여성,44450,1273080013
201902,부페,남성,13094,617340898
201902,부페,여성,8524,527648961
201902,분식,남성,347818,7232481303
201902,분식,여성,331199,6232701252
201902,양식,남성,122695,5092709543
201902,양식,여성,130890,4634058707
201902,유흥주점,남성,102731,19815074549
201902,유흥주점,여성,42799,4056393192
201902,일식/수산물,남성,290819,20535608041
201902,일식/수산물,여성,226681,14561389692
201902,제과/제빵/떡/케익,남성,275225,4467187942
201902,제과/제빵/떡/케익,여성,380319,6048032007
201902,중식,남성,166071,5008637416
201902,중식,여성,101952,3035714642
201902,커피/음료,남성,567039,8080541749
201902,커피/음료,여성,700006,9709028116
201902,패스트푸드,남성,305176,4083346570
201902,패스트푸드,여성,291289,3714479721
201902,한식,남성,1227330,53029953197
201902,한식,여성,857533,33503165799
201903,간이주점,남성,164349,8818097821
201903,간이주점,여성,91997,3796745869
201903,고기요리,남성,267614,17527536296
201903,고기요리,여성,178862,11044914362
201903,닭/오리요리,남성,262741,7517771428
201903,닭/오리요리,여성,210464,5469676637
201903,별식/퓨전요리,남성,62873,1842751079
201903,별식/퓨전요리,여성,50863,1450734064
201903,부페,남성,16304,732974137
201903,부페,여성,10411,583522150
201903,분식,남성,374523,7033964679
201903,분식,여성,377337,6583628996
201903,양식,남성,130460,4975001096
201903,양식,여성,141230,4834436547
201903,유흥주점,남성,116468,23869236774
201903,유흥주점,여성,49774,4896031151
201903,일식/수산물,남성,311609,21149207199
201903,일식/수산물,여성,260765,16472136430
201903,제과/제빵/떡/케익,남성,306937,4615104307
201903,제과/제빵/떡/케익,여성,443517,6549829715
201903,중식,남성,193256,5418115265
201903,중식,여성,120246,3435648975
201903,커피/음료,남성,594295,7952119886
201903,커피/음료,여성,788445,10464184966
201903,패스트푸드,남성,325125,3990969110
201903,패스트푸드,여성,316814,3822638685
201903,한식,남성,1369306,58026711521
201903,한식,여성,983133,37501632997
201904,간이주점,남성,158292,8625482545
201904,간이주점,여성,89690,3596486325
201904,고기요리,남성,266132,17482255919
201904,고기요리,여성,172695,10676074683
201904,닭/오리요리,남성,252403,7141207330
201904,닭/오리요리,여성,200687,5281917147
201904,별식/퓨전요리,남성,61995,1736231106
201904,별식/퓨전요리,여성,52570,1403955346
201904,부페,남성,15422,799085782
201904,부페,여성,10387,478124503
201904,분식,남성,389593,7466331151
201904,분식,여성,379370,6609026273
201904,양식,남성,127577,4985410165
201904,양식,여성,142861,4771239871
201904,유흥주점,남성,108065,21833484300
201904,유흥주점,여성,48667,4706191033
201904,일식/수산물,남성,311093,22028137830
201904,일식/수산물,여성,256720,16971449980
201904,제과/제빵/떡/케익,남성,300528,4526436946
201904,제과/제빵/떡/케익,여성,431150,6289225908
201904,중식,남성,192800,5293585185
201904,중식,여성,113224,3366097168
201904,커피/음료,남성,631070,8267368868
201904,커피/음료,여성,807753,10380600309
201904,패스트푸드,남성,323183,4023927118
201904,패스트푸드,여성,314388,3753351265
201904,한식,남성,1376895,58399211642
201904,한식,여성,988935,39211971629
201905,간이주점,남성,176155,8895140916
201905,간이주점,여성,97029,3710239544
201905,고기요리,남성,282440,18616004214
201905,고기요리,여성,183305,11523512135
201905,닭/오리요리,남성,266164,7833167052
201905,닭/오리요리,여성,216085,5727398353
201905,별식/퓨전요리,남성,67227,1930235489
201905,별식/퓨전요리,여성,52471,1497097294
201905,부페,남성,16702,762869835
201905,부페,여성,10008,583242497
201905,분식,남성,447416,8559956424
201905,분식,여성,423671,7567189600
201905,양식,남성,151454,5860511405
201905,양식,여성,163230,5536830123
201905,유흥주점,남성,117052,23103743438
201905,유흥주점,여성,50637,4847850758
201905,일식/수산물,남성,346316,24288439062
201905,일식/수산물,여성,273015,17621134574
201905,제과/제빵/떡/케익,남성,306177,4715323210
201905,제과/제빵/떡/케익,여성,441755,6445337016
201905,중식,남성,201715,5594654375
201905,중식,여성,124724,3615536286
201905,커피/음료,남성,715234,9657584807
201905,커피/음료,여성,893660,11631671384
201905,패스트푸드,남성,362585,4490766620
201905,패스트푸드,여성,350857,4226115782
201905,한식,남성,1501939,64818145235
201905,한식,여성,1039028,41258074504
201906,간이주점,남성,169112,9042196599
201906,간이주점,여성,102751,4077707269
201906,고기요리,남성,278612,18250143395
201906,고기요리,여성,184514,11148503611
201906,닭/오리요리,남성,279646,8121635732
201906,닭/오리요리,여성,222254,5805524433
201906,별식/퓨전요리,남성,63202,1676837451
201906,별식/퓨전요리,여성,49153,1368765229
201906,부페,남성,16215,707198129
201906,부페,여성,10032,573939882
201906,분식,남성,447999,8780666661
201906,분식,여성,434057,7895842331
201906,양식,남성,155472,5967701802
201906,양식,여성,167943,5871958847
201906,유흥주점,남성,113932,22022997713
201906,유흥주점,여성,50432,4703359896
201906,일식/수산물,남성,360694,24390929620
201906,일식/수산물,여성,282358,18560628165
201906,제과/제빵/떡/케익,남성,306860,4472299320
201906,제과/제빵/떡/케익,여성,434453,6233170359
201906,중식,남성,208301,5567550126
201906,중식,여성,131698,3712034815
201906,커피/음료,남성,724327,9889013624
201906,커피/음료,여성,921081,12169681581
201906,패스트푸드,남성,367694,4474664883
201906,패스트푸드,여성,345272,4206228628
201906,한식,남성,1488645,63612520437
201906,한식,여성,1064276,42141702212
201907,간이주점,남성,175387,9010101372
201907,간이주점,여성,105451,3978331598
201907,고기요리,남성,289657,18458619232
201907,고기요리,여성,192405,11738222150
201907,닭/오리요리,남성,295788,8560357966
201907,닭/오리요리,여성,237660,6383443710
201907,별식/퓨전요리,남성,63833,1785387236
201907,별식/퓨전요리,여성,50627,1352505548
201907,부페,남성,18500,871415999
201907,부페,여성,12094,592900936
201907,분식,남성,496612,9371398004
201907,분식,여성,491849,8677719810
201907,양식,남성,158658,6241735449
201907,양식,여성,173539,6105530868
201907,유흥주점,남성,112108,21574072243
201907,유흥주점,여성,48995,4650329843
201907,일식/수산물,남성,360495,23786962465
201907,일식/수산물,여성,284656,17241140930
201907,제과/제빵/떡/케익,남성,320873,4638726322
201907,제과/제빵/떡/케익,여성,446046,6327086477
201907,중식,남성,215430,5728251171
201907,중식,여성,140973,3869100262
201907,커피/음료,남성,784496,10441596162
201907,커피/음료,여성,991250,13082371611
201907,패스트푸드,남성,384169,4851404106
201907,패스트푸드,여성,376520,4682090551
201907,한식,남성,1579044,65039196300
201907,한식,여성,1134803,44087877925
201908,간이주점,남성,193305,9687779024
201908,간이주점,여성,120700,4625482788
201908,고기요리,남성,324562,21200507116
201908,고기요리,여성,214621,13179037976
201908,닭/오리요리,남성,308434,8886833267
201908,닭/오리요리,여성,251731,6795596880
201908,별식/퓨전요리,남성,71854,2019087250
201908,별식/퓨전요리,여성,55247,1502002208
201908,부페,남성,19319,824872122
201908,부페,여성,14441,730344016
201908,분식,남성,578900,11192386162
201908,분식,여성,554804,9945348961
201908,양식,남성,179119,6973962350
201908,양식,여성,191419,6787378013
201908,유흥주점,남성,122699,22884646370
201908,유흥주점,여성,54715,4419039494
201908,일식/수산물,남성,414918,26802678534
201908,일식/수산물,여성,322562,19788635745
201908,제과/제빵/떡/케익,남성,358088,5230994453
201908,제과/제빵/떡/케익,여성,493199,7179138787
201908,중식,남성,234927,6480350476
201908,중식,여성,150400,4201225856
201908,커피/음료,남성,935298,12784014201
201908,커피/음료,여성,1144712,15333747496
201908,패스트푸드,남성,422819,5488494394
201908,패스트푸드,여성,400417,5097978259
201908,한식,남성,1774710,75995442172
201908,한식,여성,1260541,49842531553
201909,간이주점,남성,168383,9028680782
201909,간이주점,여성,101911,3987996116
201909,고기요리,남성,244191,15507521127
201909,고기요리,여성,158311,9762334012
201909,닭/오리요리,남성,243120,6882351489
201909,닭/오리요리,여성,192997,4999435638
201909,별식/퓨전요리,남성,60494,1573732845
201909,별식/퓨전요리,여성,47036,1303047458
201909,부페,남성,13725,672351362
201909,부페,여성,10229,612162183
201909,분식,남성,414945,7779682409
201909,분식,여성,415957,7021702368
201909,양식,남성,127311,4942281709
201909,양식,여성,133292,4787136516
201909,유흥주점,남성,109686,21371999828
201909,유흥주점,여성,47178,4381153880
201909,일식/수산물,남성,299335,20171658971
201909,일식/수산물,여성,245335,15851870766
201909,제과/제빵/떡/케익,남성,312315,4912251431
201909,제과/제빵/떡/케익,여성,439429,6874240209
201909,중식,남성,187235,5060381591
201909,중식,여성,116156,3119903924
201909,커피/음료,남성,699723,9346464469
201909,커피/음료,여성,874688,11503148208
201909,패스트푸드,남성,323196,4001167564
201909,패스트푸드,여성,301502,3746408416
201909,한식,남성,1319906,54562898097
201909,한식,여성,942918,35777048055
201910,간이주점,남성,186430,9229508168
201910,간이주점,여성,114732,4433719915
201910,고기요리,남성,290221,18884911116
201910,고기요리,여성,191001,11797001788
201910,닭/오리요리,남성,271383,7763512290
201910,닭/오리요리,여성,223950,5833812439
201910,별식/퓨전요리,남성,75220,1951225072
201910,별식/퓨전요리,여성,62181,1664215809
201910,부페,남성,16310,845296193
201910,부페,여성,12556,619502147
201910,분식,남성,491594,9327982683
201910,분식,여성,497501,8470068358
201910,양식,남성,149350,5931092299
201910,양식,여성,158344,5220312055
201910,유흥주점,남성,119180,22676375027
201910,유흥주점,여성,55007,5404201677
201910,일식/수산물,남성,365150,25305518601
201910,일식/수산물,여성,299559,19400816059
201910,제과/제빵/떡/케익,남성,340176,5158882965
201910,제과/제빵/떡/케익,여성,492052,7302342227
201910,중식,남성,208037,5514455316
201910,중식,여성,134277,3863475425
201910,커피/음료,남성,767758,10197488826
201910,커피/음료,여성,995658,13034326403
201910,패스트푸드,남성,358499,4412925210
201910,패스트푸드,여성,346231,4289949968
201910,한식,남성,1593785,68637111655
201910,한식,여성,1169885,45687961194
201911,간이주점,남성,184499,9349166936
201911,간이주점,여성,110793,4280735111
201911,고기요리,남성,276071,18085441991
201911,고기요리,여성,190266,11453748358
201911,닭/오리요리,남성,258159,7380790554
201911,닭/오리요리,여성,212838,5497738392
201911,별식/퓨전요리,남성,71842,1828228874
201911,별식/퓨전요리,여성,60810,1581923420
201911,부페,남성,16289,808797972
201911,부페,여성,11631,533757701
201911,분식,남성,449579,8302644545
201911,분식,여성,454047,7762758304
201911,양식,남성,133876,5214178742
201911,양식,여성,144604,4892486101
201911,유흥주점,남성,119663,23919577182
201911,유흥주점,여성,52579,5281653235
201911,일식/수산물,남성,345350,25260709292
201911,일식/수산물,여성,288676,18364642330
201911,제과/제빵/떡/케익,남성,327598,5161927690
201911,제과/제빵/떡/케익,여성,465861,7074296074
201911,중식,남성,202515,5245450660
201911,중식,여성,130263,3422588361
201911,커피/음료,남성,706088,9174149465
201911,커피/음료,여성,919146,12264154399
201911,패스트푸드,남성,316746,3862441562
201911,패스트푸드,여성,310464,3763045397
201911,한식,남성,1499004,65396587816
201911,한식,여성,1093868,42239216093
201912,간이주점,남성,181777,8921950260
201912,간이주점,여성,118582,4754518578
201912,고기요리,남성,284271,19119066537
201912,고기요리,여성,195514,12178087265
201912,닭/오리요리,남성,279746,7837346726
201912,닭/오리요리,여성,225094,5915246748
201912,별식/퓨전요리,남성,78263,2087215859
201912,별식/퓨전요리,여성,63884,1746130226
201912,부페,남성,21620,1205255085
201912,부페,여성,15944,791574954
201912,분식,남성,460305,8462830031
201912,분식,여성,460814,7944782044
201912,양식,남성,144728,5860592053
201912,양식,여성,148946,5567126749
201912,유흥주점,남성,120696,23363561163
201912,유흥주점,여성,51297,5108050235
201912,일식/수산물,남성,361469,25376886648
201912,일식/수산물,여성,290276,18177263345
201912,제과/제빵/떡/케익,남성,344383,5366758574
201912,제과/제빵/떡/케익,여성,485174,7484224933
201912,중식,남성,206725,5612065028
201912,중식,여성,136939,3725638683
201912,커피/음료,남성,749706,10149800714
201912,커피/음료,여성,958366,13000168942
201912,패스트푸드,남성,334001,4368889566
201912,패스트푸드,여성,320220,4080109348
201912,한식,남성,1537416,64730111645
201912,한식,여성,1107744,43016719747
202001,간이주점,남성,171551,8782398993
202001,간이주점,여성,109048,4337479743
202001,고기요리,남성,270707,18055598997
202001,고기요리,여성,184232,11661307009
202001,닭/오리요리,남성,269903,7760971083
202001,닭/오리요리,여성,220914,5764343685
202001,별식/퓨전요리,남성,69188,1765505952
202001,별식/퓨전요리,여성,57900,1587623561
202001,부페,남성,18360,881619122
202001,부페,여성,13165,892564527
202001,분식,남성,404002,7723538132
202001,분식,여성,419129,7354463245
202001,양식,남성,132317,5357105097
202001,양식,여성,146943,5216051513
202001,유흥주점,남성,107434,20183972071
202001,유흥주점,여성,45329,4099063666
202001,일식/수산물,남성,324300,22634834565
202001,일식/수산물,여성,265753,17162722723
202001,제과/제빵/떡/케익,남성,322461,5343314352
202001,제과/제빵/떡/케익,여성,472584,7418732104
202001,중식,남성,204684,5626086441
202001,중식,여성,135295,3755509918
202001,커피/음료,남성,707842,9534090371
202001,커피/음료,여성,910251,12446766739
202001,패스트푸드,남성,327389,4254866157
202001,패스트푸드,여성,314874,3963784758
202001,한식,남성,1399127,58300245039
202001,한식,여성,1022354,39640817247
202002,간이주점,남성,144908,7296818154
202002,간이주점,여성,86100,3708616055
202002,고기요리,남성,218943,13614861940
202002,고기요리,여성,138305,8018093955
202002,닭/오리요리,남성,251118,7018647349
202002,닭/오리요리,여성,192367,5024057943
202002,별식/퓨전요리,남성,62361,1640030778
202002,별식/퓨전요리,여성,48901,1307331563
202002,부페,남성,17002,617621318
202002,부페,여성,10978,452027633
202002,분식,남성,329971,6043465432
202002,분식,여성,314321,5339427126
202002,양식,남성,103944,4008551644
202002,양식,여성,107366,3734503578
202002,유흥주점,남성,89677,17806884781
202002,유흥주점,여성,33973,3728899944
202002,일식/수산물,남성,241437,15526463646
202002,일식/수산물,여성,178901,10676045599
202002,제과/제빵/떡/케익,남성,287128,4118018720
202002,제과/제빵/떡/케익,여성,401155,5964815506
202002,중식,남성,169722,4479232876
202002,중식,여성,105906,2897919986
202002,커피/음료,남성,566894,6920212239
202002,커피/음료,여성,679738,8640851371
202002,패스트푸드,남성,276952,3584804707
202002,패스트푸드,여성,251455,3296503721
202002,한식,남성,1167354,45888090376
202002,한식,여성,757789,27419941160
202003,간이주점,남성,149440,7520921601
202003,간이주점,여성,86596,3545920987
202003,고기요리,남성,215711,12970044550
202003,고기요리,여성,137091,7713666959
202003,닭/오리요리,남성,253647,6999040359
202003,닭/오리요리,여성,203921,5230034817
202003,별식/퓨전요리,남성,67093,1712880859
202003,별식/퓨전요리,여성,49252,1308716390
202003,부페,남성,15744,544859057
202003,부페,여성,7882,351661829
202003,분식,남성,329705,5799055201
202003,분식,여성,322788,5386733396
202003,양식,남성,107418,3990570223
202003,양식,여성,104182,3602697901
202003,유흥주점,남성,80429,16309896359
202003,유흥주점,여성,32381,3558452301
202003,일식/수산물,남성,236943,14488451246
202003,일식/수산물,여성,181508,10217989023
202003,제과/제빵/떡/케익,남성,311719,4437489484
202003,제과/제빵/떡/케익,여성,433368,6217056389
202003,중식,남성,179284,4662012507
202003,중식,여성,113213,2962416687
202003,커피/음료,남성,586888,6966069498
202003,커피/음료,여성,729474,8874565343
202003,패스트푸드,남성,288087,3693844734
202003,패스트푸드,여성,276921,3574647081
202003,한식,남성,1172724,43432492062
202003,한식,여성,779245,27090514755
202004,간이주점,남성,152911,7553133871
202004,간이주점,여성,88457,3561835223
202004,고기요리,남성,214607,12966379314
202004,고기요리,여성,134121,7800346934
202004,닭/오리요리,남성,251342,7053646784
202004,닭/오리요리,여성,203230,5199626277
202004,별식/퓨전요리,남성,62669,1600651797
202004,별식/퓨전요리,여성,48002,1313146619
202004,부페,남성,16400,499970563
202004,부페,여성,7506,276857552
202004,분식,남성,342170,5998921328
202004,분식,여성,334595,5404859132
202004,양식,남성,109279,4127754793
202004,양식,여성,117087,3968970585
202004,유흥주점,남성,84157,16454504169
202004,유흥주점,여성,31873,3423757064
202004,일식/수산물,남성,253691,15693106338
202004,일식/수산물,여성,196435,11317600557
202004,제과/제빵/떡/케익,남성,296736,4319064138
202004,제과/제빵/떡/케익,여성,429742,6594645175
202004,중식,남성,184967,4886002520
202004,중식,여성,116263,2969698311
202004,커피/음료,남성,632275,7537224032
202004,커피/음료,여성,771922,9296962835
202004,패스트푸드,남성,291942,3677645576
202004,패스트푸드,여성,286668,3617226104
202004,한식,남성,1221036,47728255615
202004,한식,여성,812171,28819112120
202005,간이주점,남성,184557,8887444219
202005,간이주점,여성,110606,4333417339
202005,고기요리,남성,266189,16897740232
202005,고기요리,여성,166395,10048747734
202005,닭/오리요리,남성,308012,8583626229
202005,닭/오리요리,여성,226494,5903402801
202005,별식/퓨전요리,남성,72083,1921409598
202005,별식/퓨전요리,여성,51682,1482584146
202005,부페,남성,20290,885724243
202005,부페,여성,11809,565319402
202005,분식,남성,456675,8225607791
202005,분식,여성,412172,6860005258
202005,양식,남성,154278,6092995541
